,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603887,N城地,44.023,17.47,14.56,17.47,14.56,12.13,8936,0.03633,155821,22.987,3.284,171380.7,42976.2
1,600005,武钢股份,10.145,3.04,3.04,3.04,3.04,2.76,3884596,0.03849,11809172,-4.086,1.07,3068509.06619,3068509.06619
2,601128,常熟银行,10.065,6.78,6.78,6.78,6.78,6.16,55695,0.02506,377612,14.125,1.584,1507009.56298,150700.956366
3,601216,君正集团,10.041,5.37,4.99,5.37,4.97,4.88,197755206,2.68223,1037306021,23.573,1.77,4531215.33843,3959193.6
4,600410,华胜天成,10.033,13.27,12.24,13.27,12.24,12.06,63168144,7.07827,811622431,163.424,5.027,1188810.85654,1184246.24194
5,600908,无锡银行,10.029,11.41,11.41,11.41,11.41,10.37,1129604,0.61122,12888782,22.82,2.476,2108699.00277,210869.900962
6,603601,再升科技,10.029,19.2,17.68,19.2,17.52,17.45,6658372,4.25912,122312850,55.046,2.994,741410.4192,300157.44
7,000518,四环生物,10.026,8.56,8.02,8.56,7.99,7.78,36634481,3.55835,307847668,-118.396,14.648,881300.126032,881282.553208
8,601137,博威合金,10.025,13.06,12.07,13.06,12.07,11.87,7468262,1.73681,95819023,39.576,2.714,819148.938648,561580.0
9,300210,森远股份,10.02,22.51,20.71,22.51,20.71,20.46,10095762,10.15547,220178238,62.528,5.042,605543.952335,223776.522299
10,600571,信雅达,10.019,22.84,20.85,22.84,20.85,20.76,20539337,4.89181,459145499,38.712,4.613,1004227.33391,958987.839856
11,600976,健民集团,10.018,31.08,30.0,31.08,30.0,28.25,7648391,4.99148,233537884,55.5,4.807,476762.8488,476235.732
12,002161,远 望 谷,10.016,13.4,13.27,13.4,13.05,12.18,11867416,1.70028,158347252,670.0,6.209,991274.916,935276.0413
13,600620,天宸股份,10.013,16.48,14.93,16.48,14.93,14.98,43274962,6.30208,693935231,149.818,3.62,1131643.88222,1131643.88222
14,603999,读者传媒,10.009,36.16,33.04,36.16,32.74,32.87,12862681,17.86483,446965721,64.571,6.544,1041408.0,260352.0
15,002722,金轮股份,10.009,51.66,47.99,51.66,47.65,46.96,10062923,21.99948,505090780,112.304,5.658,906460.155972,236301.3639
16,300451,创业软件,10.009,38.69,35.5,38.69,35.5,35.17,3537274,3.03137,131688054,47.183,13.377,816372.5415,451469.319279
17,300308,中际装备,10.007,14.95,14.95,14.95,14.95,13.59,84780,0.03952,1267461,498.333,5.841,322936.146,320746.15638
18,300536,农尚环境,10.007,30.78,30.78,30.78,30.78,27.98,22969,0.09868,706986,45.265,7.381,286584.404832,71646.101208
19,300541,先进数通,10.007,50.02,50.02,50.02,50.02,45.47,253424,0.84475,12676268,73.559,12.141,600240.0,150060.0
20,002212,南洋股份,10.006,17.15,15.95,17.15,15.62,15.59,38875869,12.91165,651345986,155.909,4.773,875095.9,516371.886485
21,300458,全志科技,10.006,88.06,82.48,88.06,81.58,80.05,4906766,6.97009,421927008,98.944,8.991,1423146.466,619920.385
22,300547,川环科技,10.006,34.96,34.96,34.96,34.96,31.78,1500,0.01003,52440,24.11,4.91,208988.13564,52265.2
23,300038,梅泰诺,10.005,45.52,41.98,45.52,41.9,41.38,12220356,10.0215,541582611,129.318,4.514,866841.88924,555077.430328
24,300369,绿盟科技,10.005,41.23,38.28,41.23,38.28,37.48,11286053,8.6868,456895299,74.964,8.812,1504764.93996,535667.944224
25,600019,宝钢股份,10.0,5.39,5.39,5.39,5.39,4.9,7498375,0.04565,40416241,89.833,0.768,8875673.77374,8852686.28614
26,000953,河池化工,10.0,16.5,14.7,16.5,14.32,15.0,47957300,16.30926,721884027,-45.342,544.554,485198.07105,485181.78555
27,002439,启明星辰,10.0,22.55,20.87,22.55,20.87,20.5,21972703,3.93134,487395711,77.759,9.785,1959464.82787,1260343.41202
28,002515,金字火腿,10.0,18.15,16.54,18.15,16.54,16.5,43610625,12.05645,769447121,302.5,8.223,1109774.127,656522.50785
29,300184,力源信息,10.0,18.04,16.58,18.04,16.48,16.4,25080898,9.92363,434686600,177.909,9.697,692874.013216,455941.62504
30,300202,聚龙股份,10.0,27.39,25.39,27.39,24.9,24.9,13101812,3.05572,351223846,58.277,9.68,1505091.456,1174384.05916
31,300522,世名科技,10.0,128.7,119.0,128.7,117.82,117.0,4725470,28.34715,580550412,115.946,16.558,858042.9,214542.9
32,300525,博思软件,10.0,105.71,97.2,105.71,96.16,96.1,1898335,11.10137,193195727,146.881,23.284,720297.369,180764.1
33,300546,雄帝科技,10.0,39.16,39.16,39.16,39.16,35.6,100,0.00075,3916,29.224,5.249,208879.44,52239.44
34,300533,冰川网络,9.999,160.72,147.85,160.72,147.85,146.11,3902381,15.60952,607443698,70.183,21.458,1607200.0,401800.0
35,300543,朗科智能,9.999,123.76,113.4,123.76,113.01,112.51,4662764,31.08509,551928632,89.036,19.398,742560.0,185640.0
36,002812,创新股份,9.997,70.42,65.0,70.42,64.0,64.02,10856423,32.42659,734518736,47.262,9.62,942782.96,235766.16
37,300423,鲁亿通,9.997,34.55,33.5,34.55,32.99,31.41,3033583,6.8452,102897661,66.442,7.929,372094.517,153115.03461
38,300491,通合科技,9.997,79.22,72.98,79.22,72.4,72.02,1434724,7.17362,110517553,111.577,16.236,633760.0,158440.0
39,300531,优博讯,9.997,115.75,105.7,115.75,105.51,105.23,4208116,21.04058,468989537,116.919,23.817,926000.0,231500.0
40,600233,大杨创世,9.996,31.25,28.65,31.25,28.65,28.41,34537511,10.46591,1042058765,114.218,9.639,1031250.0,1031250.0
41,002368,太极股份,9.994,35.33,32.55,35.33,32.55,32.12,10080179,2.77956,346358559,72.176,6.973,1468305.00299,1281255.9072
42,603189,网达软件,9.993,29.83,29.83,29.83,29.83,27.12,326104,0.59077,9727682,67.795,14.005,658646.4,164661.6
43,603738,泰晶科技,9.993,30.93,30.93,30.93,30.93,28.12,2000,0.01199,61860,30.93,5.613,206241.24,51591.24
44,300542,新晨科技,9.992,27.85,27.85,27.85,27.85,25.32,15782,0.06999,439529,53.558,4.982,251067.75,62801.75
45,002676,顺威股份,9.991,25.54,23.29,25.54,23.01,23.22,11504573,2.87614,287542276,2554.0,9.45,1021600.0,1021600.0
